reservation_id,customer_id,reservation_type,price,reservation_date,city,reservation_start,reservation_end,car_category,room_category,bed_category,flight_departure_time,flight_arrival_time,departure_airport,arrival_airport
b097458e-898a-40a0-85eb-cedb0ea47466,4fc2a5e7-859c-494f-9f82-9ef3da9c6265,Car,$126.30,2/23/2022,Granja,2/21/2022,8/18/2022,Midsize,,,,,,
67070e81-81f0-4d95-9302-98486a08bf73,e649dc5e-5570-43f6-837c-89379800179f,Hotel,$792.89,1/30/2023,Kavalerovo,8/23/2022,1/19/2023,,Studio,King,,,,
f164e71e-4874-4c42-beb4-27c2c6f5af0f,a20afabf-86af-4070-9c7c-4b4643202013,Hotel,$660.09,9/30/2022,Daxi,8/20/2022,8/23/2022,,Suite,Two Doubles,,,,
7b088670-9567-4068-8571-946dd085dab5,12d17b18-f009-49fd-a887-eaab9cd60274,Flight,$423.59,1/9/2023,,,,,,,12:59 AM,3:06 AM,MFR,SKV
ca849908-b88e-49d8-b52b-2aeb88b3c949,d9a14dd2-0000-4227-bf30-6907efb4caa7,Hotel,$552.07,11/5/2022,Albuquerque,8/24/2022,4/15/2022,,Suite,King,,,,
0df8910a-fcb6-42d9-ba8c-dc0413a111fa,2c082499-1c7f-4539-9988-eaf7dc80b9fe,Hotel,$776.60,7/18/2022,Spirit River,8/15/2022,4/27/2022,,Suite,Two Doubles,,,,
79399360-5553-4876-9058-f7f113934bd9,44a1ddc8-8ab4-490a-bfc2-7a860ad83d88,Car,$521.83,8/12/2022,Belfast,7/11/2022,8/20/2022,Compact,,,,,,
3b699a17-fef2-4207-99e1-1ac0b4178aa0,b3784afa-2e26-48b9-aa89-231569eb4989,Car,$330.33,10/15/2022,Ivanovo,4/14/2022,3/11/2022,Midsize,,,,,,
0dd334dd-48a2-453d-b895-6d369e02102a,d330efd6-fbeb-46b5-80da-77848229cfca,Hotel,$588.67,12/1/2022,Ayabaca,4/5/2022,12/18/2022,,Suite,King,,,,
07529b64-8491-4b97-84fe-4db97f317394,790b5b32-7455-4fb2-b8c9-2e6b2ba744e7,Car,$792.48,4/6/2022,Mojo,7/23/2022,1/19/2023,SUV,,,,,,
75df64e7-bda8-4815-ae6d-a1833ef8a06b,c138e361-534f-498c-a4c9-77f29e3f6b50,Hotel,$365.25,2/14/2023,Pexiligais,12/22/2022,7/28/2022,,Studio,Two Doubles,,,,
337956fb-4126-4f6a-b546-9ed743c77b3f,2177c886-4e62-4745-a470-0f690e75518d,Flight,$846.63,12/30/2022,,,,,,,1:24 AM,3:36 PM,CFQ,OTN
1637087c-2736-4e0e-a40d-4a6b5f6da751,d158c0ce-ecb0-45e7-99a9-cd23ab17a990,Car,$781.88,11/18/2022,Porsgrunn,7/18/2022,9/29/2022,Compact,,,,,,
3eb779ac-ee41-479c-9ea6-b6fdc24d46b0,aaaf7a2d-ab4c-4265-a6aa-e3ee17567689,Hotel,$554.75,8/4/2022,Hanyū,6/3/2022,1/27/2023,,Studio,King,,,,
822ca0c5-75a9-4aad-94f2-5554dc41e243,8e499695-504e-4cd9-b568-99d7bbc62d53,Car,$820.35,5/28/2022,San Juan de Colón,1/11/2023,1/5/2023,Compact,,,,,,
95e03edf-53d9-4dfb-a5fc-bedc00f1f483,ef4888ae-c5b1-4df7-b00e-145161a1aa85,Hotel,$635.25,1/21/2023,Oyem,11/11/2022,11/6/2022,,One Room,King,,,,
54830bf9-9aba-48cc-9c17-30e822ad3946,3d16b230-de06-4af3-8296-0d64935b2532,Car,$572.81,12/15/2022,Kromy,6/27/2022,7/10/2022,Midsize,,,,,,
e65ecd6f-5678-446a-9ee0-b3151105a3a2,48a3ef45-3b41-4d21-ae9d-327edb629cb9,Hotel,$227.67,7/4/2022,Balingasag,7/23/2022,6/26/2022,,Suite,Two Doubles,,,,
dfb58b01-8051-486d-85bf-7b820966e508,3db71dcc-b81a-4ea1-893a-9598025d1cf1,Flight,$497.46,3/7/2022,,,,,,,10:48 PM,12:57 PM,BNY,RDD
8349e298-fe14-4ac5-9d51-1a8e09846742,0404529a-66d3-4c3c-b061-866eddef1a91,Hotel,$628.42,7/31/2022,Netolice,10/12/2022,12/15/2022,,Suite,Two Doubles,,,,
62207c39-2555-4fe3-8d34-2171889ed79c,e201596b-2362-4acd-b993-9c9e60fa5b2f,Car,$767.29,11/4/2022,Tsiombe,12/26/2022,12/27/2022,Compact,,,,,,
a0b845d2-f5a3-4793-8f9b-5f10726bee7f,2c0b699d-8efa-4d9d-99c2-f2e08aba5ffb,Car,$230.25,5/2/2022,Tambaksumur,1/29/2023,7/1/2022,Midsize,,,,,,
23287166-1fac-47ca-943e-7d485e8d39c4,cb524abe-700d-4e7c-8a1c-0e90497a9102,Hotel,$795.66,2/10/2023,San Juan de Manapiare,7/9/2022,5/28/2022,,One Room,King,,,,
90b68aa2-97a0-49b9-87ab-e554f9506799,170849f9-b22f-4ebc-8c31-7ce7a7091394,Car,$893.66,12/24/2022,Outeiro,8/7/2022,12/29/2022,SUV,,,,,,
20dcdae0-73ff-4892-96b6-abf2053cd057,c38fa09b-1668-456f-ad18-9143f6540f6b,Hotel,$439.63,12/13/2022,Yayao,12/10/2022,11/10/2022,,Suite,King,,,,
c8b3f140-d002-4994-b226-2a2ff092ed44,0a70c4a7-0824-45c2-97fa-2002aeba236e,Flight,$990.85,12/2/2022,,,,,,,8:03 AM,3:06 PM,ZQZ,WMT
6be7821e-429a-4a42-a146-1aa04d2af6d8,fc35ec4d-00e9-48a6-85e9-2dfba75a117d,Car,$655.74,10/3/2022,Itajubá,4/15/2022,2/4/2023,Compact,,,,,,
8f2d92a4-4c8d-42e0-917a-dd9b31bb1b8d,1b1d7e50-c9dc-466b-bda6-a3f27b0a47dc,Hotel,$510.78,9/4/2022,Wyśmierzyce,11/13/2022,6/4/2022,,Suite,King,,,,
32b325d9-d643-4712-be0d-c6e34ce510fb,ef48d074-1b7f-499f-a731-fd245d329114,Flight,$656.09,7/28/2022,,,,,,,7:55 AM,1:17 PM,UTN,RCA
b22bb389-fc1a-433c-a866-eca4c9b34887,19146daf-7cb3-4c92-8dcf-37a8d92d16aa,Flight,$509.84,5/21/2022,,,,,,,2:04 PM,11:02 PM,URT,DAF
7f4e2dcd-f634-4827-98c1-2a5ba875bcbf,eee31dca-03ce-42ce-9a08-9fbed62ef818,Car,$720.18,10/27/2022,Aguilar,8/26/2022,5/29/2022,Midsize,,,,,,
ff18e027-9c9f-4689-bc38-9a3bdfca6cab,c88fa22f-b2db-41d0-907b-ddcaa9273929,Hotel,$712.93,11/18/2022,Luhanka,8/29/2022,1/1/2023,,Suite,King,,,,
5c4a1475-4729-4bcb-96b4-17edd865dede,ea8a09de-480c-45d8-b1ee-980c3d3d77cc,Flight,$611.10,2/16/2023,,,,,,,4:24 AM,7:47 PM,MTC,PAJ
0dce084d-33f3-4e24-b6dc-3a7287fc4d68,fbbd2a13-714e-450b-875c-4ddf21a7a84f,Hotel,$795.22,12/12/2022,Majiang,3/22/2022,11/23/2022,,One Room,Two Doubles,,,,
8cc45115-e6d7-480d-9fed-509005dada00,d5ec7a73-801f-41d7-b0aa-a268342108a7,Car,$227.95,3/1/2022,Oliveira do Conde,6/25/2022,12/17/2022,Compact,,,,,,
8c393019-b576-4e20-ad8c-e27681c4eebd,627db476-ae54-4181-abea-fe15d7cc8810,Car,$127.42,4/30/2022,Rájec-Jestřebí,6/2/2022,9/16/2022,Midsize,,,,,,
1cd75625-d209-4a36-b172-7d101d8166d4,a5ac169a-07e6-4e18-b487-e17062a5f2a4,Hotel,$465.80,12/29/2022,Nizhniy Tagil,10/13/2022,7/9/2022,,Studio,King,,,,
8ead6590-cfe9-4b36-b9af-2aa2ed8e6cd3,ec75a2b5-b348-4da6-b6ac-900176520b1a,Car,$421.89,2/15/2023,Bressuire,1/27/2023,5/19/2022,SUV,,,,,,
4e3c9618-000f-4934-a5ea-0c3d2b5601cf,4a7bb5b9-b4d8-444f-a607-4636818908cf,Car,$835.80,7/10/2022,Tamano,7/8/2022,9/15/2022,Midsize,,,,,,
6d992175-95ea-48d6-8fc1-373dbac2065b,0ff4953b-04ed-41c6-a49a-a198f53288fc,Hotel,$149.49,12/2/2022,Longcun,7/16/2022,4/25/2022,,Studio,King,,,,
ce3c6ccc-8096-431b-819d-8a4a4b82d27b,6257cab0-038e-45dd-87d9-f010034f6122,Flight,$737.64,2/10/2023,,,,,,,8:06 AM,12:45 PM,IXL,DRK
